Pressure (atm),T_Plasma_Membrane,T_Peptidoglycan,T_Total
0.0,0.005468616675912794,-0.00737172911791196,-0.004149885528867309
0.02512562814070352,0.00576682587876558,0.007373024118845996,-0.0018561864810418107
0.05025125628140704,0.009350352621217143,0.024223680383332644,0.0032255874139995645
0.07537688442211055,0.009702864788205813,0.03240502728137581,0.012241759872956698
0.10050251256281408,0.013925377368248795,0.04774769398348628,0.028658674012171977
0.1256281407035176,0.0060484371994443085,0.06257207463143719,0.0425707538563761
0.1507537688442211,0.013407958466940274,0.0729816791614937,0.05830965740549637
0.1758793969849246,0.013218461559340311,0.07944115519822455,0.0735147281449903
0.20100502512562815,0.010765916425292768,0.08689294731462072,0.08641374288203102
0.22613065326633167,0.012387274532206217,0.09112298481152677,0.09560921978504908
0.2512562814070352,0.019514914642077486,0.09559739292611787,0.10591629582171408
0.2763819095477387,0.010894223514798799,0.10550449872537676,0.12554642222023218
0.3015075376884422,0.007967473156057869,0.10954659905394888,0.1368093815723354
0.32663316582914576,0.014896037381561186,0.13042012028131894,0.14566421086259626
0.3517587939698492,0.007848690288979016,0.14540157141945062,0.16280879548399285
0.3768844221105528,0.004269369037526067,0.15829209716286485,0.17591360446065113
0.4020100502512563,-0.0003380606434233033,0.16157118554613095,0.18565412435371914
0.42713567839195976,0.0037485905117397387,0.17536962819222712,0.1983950179175817
0.45226130653266333,0.0001205078344321639,0.17221671554861664,0.210512339438837
0.4773869346733668,0.006293020905921773,0.1809826572752035,0.22084043715998591
0.5025125628140704,0.006005816854141763,0.18818059777678459,0.2248203505076897
0.5276381909547738,0.016634679052438213,0.20247551611159653,0.23286131918272482
0.5527638190954774,0.008394983898967341,0.20824336324338566,0.24048748483623097
0.5778894472361809,0.01035626937328101,0.2269092711753051,0.25353202749335846
0.6030150753768844,0.00926313628448606,0.2432568851593243,0.25569022208997855
0.6281407035175879,0.011894927940119695,0.25739364123391295,0.2642497346068624
0.6532663316582915,0.010920629913421678,0.2659647521836534,0.27587806434984335
0.678391959798995,0.018782327796242816,0.2765684328894362,0.2905707468616296
0.7035175879396984,0.009626182492774138,0.28719879063634746,0.2978350973784473
0.728643216080402,0.00815474962188168,0.28741078097172584,0.32074936424087874
0.7537688442211056,0.009099237529730545,0.30285716699578796,0.32745013387831384
0.7788944723618091,0.008784852130998498,0.3097609008167765,0.3380064748995106
0.8040201005025126,0.007729512960867841,0.31821114395534944,0.35110678986745736
0.829145728643216,0.01422874004315545,0.32330270234841557,0.3591983414098889
0.8542713567839195,0.01531838139484641,0.33518834034804335,0.3758848358422693
0.8793969849246231,0.02052234307235345,0.34055570715897426,0.3953846171240474
0.9045226130653267,0.02195480212745705,0.3521015937545263,0.4022442534553947
0.9296482412060302,0.023249908687762656,0.3657237901378941,0.41220472720534024
0.9547738693467336,0.026464253316899628,0.3832678960126753,0.4281267694423133
0.9798994974874373,0.023279480344447066,0.3955387407771819,0.42502147584242717
1.0050251256281408,0.01572842081276937,0.40401615015342945,0.4371444076945283
1.0301507537688441,0.014015336183030087,0.423043458530409,0.4473698967981623
1.0552763819095476,0.007595397898466164,0.4301100416045016,0.45324071796385773
1.0804020100502512,0.011374884381788289,0.4373557499964121,0.46264395893137344
1.105527638190955,0.022152521914158046,0.4472595831172503,0.47440114676038525
1.1306532663316584,0.02811887364411197,0.4601061413655232,0.48273459103296523
1.1557788944723617,0.027788666141843506,0.46509904392954493,0.49982532134027163
1.1809045226130652,0.02897918266774876,0.48117154054258243,0.5094143109416119
