Surface_Area_um2,PM_Tension_10_2_N_per_m,PG_Tension_10_2_N_per_m,Total_Tension_10_2_N_per_m,Rupture_Tension_10_2_N_per_m
30.384615,0.218126,5.846154,6.064280,1.5
30.468227,0.265545,5.877926,6.143471,1.5
30.551839,0.312964,5.909699,6.222663,1.5
30.635452,0.360382,5.941472,6.301854,1.5
30.719064,0.407801,5.973244,6.381045,1.5
30.802676,0.455220,6.005017,6.460237,1.5
30.886288,0.502639,6.036789,6.539428,1.5
30.969900,0.550057,6.068562,6.618619,1.5
31.053512,0.597476,6.100334,6.697811,1.5
31.137124,0.644895,6.132107,6.777002,1.5
31.220736,0.692314,6.163880,6.856193,1.5
31.304348,0.739732,6.195652,6.935385,1.5
31.387960,0.787151,6.227425,7.014576,1.5
31.471572,0.834570,6.259197,7.093767,1.5
31.555184,0.881989,6.290970,7.172959,1.5
31.638796,0.929407,6.322742,7.252150,1.5
31.722408,0.976826,6.354515,7.331341,1.5
31.806020,1.024245,6.386288,7.410533,1.5
31.889632,1.071664,6.418060,7.489724,1.5
31.973244,1.119082,6.449833,7.568915,1.5
32.056856,1.166501,6.481605,7.648106,1.5
32.140468,1.213920,6.513378,7.727298,1.5
32.224080,1.261339,6.545151,7.806489,1.5
32.307692,1.308757,6.576923,7.885680,1.5
32.391304,1.356176,6.608696,7.964872,1.5
32.474916,1.403595,6.640468,8.044063,1.5
32.558528,1.451014,6.672241,8.123254,1.5
32.642140,1.498432,6.704013,8.202446,1.5
32.725753,1.545851,6.735786,8.281637,1.5
32.809365,1.593270,6.767559,8.360828,1.5
32.892977,1.640689,6.799331,8.440020,1.5
32.976589,1.688107,6.831104,8.519211,1.5
33.060201,1.735526,6.862876,8.598402,1.5
33.143813,1.782945,6.894649,8.677594,1.5
33.227425,1.830364,6.926421,8.756785,1.5
33.311037,1.877782,6.958194,8.835976,1.5
33.394649,1.925201,6.989967,8.915168,1.5
33.478261,1.972620,7.021739,8.994359,1.5
33.561873,2.020039,7.053512,9.073550,1.5
33.645485,2.067457,7.085284,9.152742,1.5
33.729097,2.114876,7.117057,9.231933,1.5
33.812709,2.162295,7.148829,9.311124,1.5
33.896321,2.209713,7.180602,9.390315,1.5
33.979933,2.257132,7.212375,9.469507,1.5
34.063545,2.304551,7.244147,9.548698,1.5
34.147157,2.351970,7.275920,9.627889,1.5
34.230769,2.399388,7.307692,9.707081,1.5
34.314381,2.446807,7.339465,9.786272,1.5
34.397993,2.494226,7.371237,9.865463,1.5
34.481605,2.541645,7.403010,9.944655,1.5
34.565217,2.589063,7.434783,10.023846,1.5
34.648829,2.636482,7.466555,10.103037,1.5
34.732441,2.683901,7.498328,10.182229,1.5
34.816054,2.731320,7.530100,10.261420,1.5
34.899666,2.778738,7.561873,10.340611,1.5
34.983278,2.826157,7.593645,10.419803,1.5
35.066890,2.873576,7.625418,10.498994,1.5
35.150502,2.920995,7.657191,10.578185,1.5
35.234114,2.968413,7.688963,10.657377,1.5
35.317726,3.015832,7.720736,10.736568,1.5
35.401338,3.063251,7.752508,10.815759,1.5
35.484950,3.110670,7.784281,10.894951,1.5
35.568562,3.158088,7.816054,10.974142,1.5
35.652174,3.205507,7.847826,11.053333,1.5
35.735786,3.252926,7.879599,11.132525,1.5
35.819398,3.300345,7.911371,11.211716,1.5
35.903010,3.347763,7.943144,11.290907,1.5
35.986622,3.395182,7.974916,11.370098,1.5
36.070234,3.442601,8.006689,11.449290,1.5
36.153846,3.490020,8.038462,11.528481,1.5
36.237458,3.537438,8.070234,11.607672,1.5
36.321070,3.584857,8.102007,11.686864,1.5
