Pressure_atm,PM_Tension_10_2_N_per_m,PG_Tension_10_2_N_per_m,Total_Tension_10_2_N_per_m,Rupture_Tension_10_2_N_per_m
1.739130,0.000000,4.347826,4.486957,1.5
1.752508,0.000000,4.381271,4.521472,1.5
1.765886,0.000000,4.414716,4.555987,1.5
1.779264,0.000000,4.448161,4.590502,1.5
1.792642,0.000000,4.481605,4.625017,1.5
1.806020,0.000000,4.515050,4.659532,1.5
1.819398,0.000000,4.548495,4.694047,1.5
1.832776,0.000000,4.581940,4.728562,1.5
1.846154,0.000000,4.615385,4.763077,1.5
1.859532,0.000000,4.648829,4.797592,1.5
1.872910,0.000000,4.682274,4.832107,1.5
1.886288,0.000000,4.715719,4.866622,1.5
1.899666,0.000000,4.749164,4.901137,1.5
1.913043,0.000000,4.782609,4.935652,1.5
1.926421,0.000000,4.816054,4.970167,1.5
1.939799,0.000000,4.849498,5.004682,1.5
1.953177,0.000000,4.882943,5.039197,1.5
1.966555,0.000000,4.916388,5.073712,1.5
1.979933,0.000000,4.949833,5.108227,1.5
1.993311,0.000000,4.983278,5.142742,1.5
2.006689,0.000000,5.016722,5.177258,1.5
2.020067,0.000000,5.050167,5.211773,1.5
2.033445,0.000000,5.083612,5.246288,1.5
2.046823,0.000000,5.117057,5.280803,1.5
2.060201,0.000000,5.150502,5.315318,1.5
2.073579,0.000000,5.183946,5.349833,1.5
2.086957,0.000000,5.217391,5.384348,1.5
2.100334,0.000000,5.250836,5.418863,1.5
2.113712,0.000000,5.284281,5.453378,1.5
2.127090,0.000000,5.317726,5.487893,1.5
2.140468,0.000000,5.351171,5.522408,1.5
2.153846,0.000000,5.384615,5.556923,1.5
2.167224,0.000000,5.418060,5.591438,1.5
2.180602,0.000000,5.451505,5.625953,1.5
2.193980,0.000000,5.484950,5.660468,1.5
2.207358,0.000000,5.518395,5.694983,1.5
2.220736,0.000000,5.551839,5.729498,1.5
2.234114,0.000000,5.585284,5.764013,1.5
2.247492,0.000000,5.618729,5.798528,1.5
2.260870,0.000000,5.652174,5.833043,1.5
2.274247,0.000000,5.685619,5.867559,1.5
2.287625,0.000000,5.719064,5.902074,1.5
2.301003,0.000000,5.752508,5.936589,1.5
2.314381,0.000000,5.785953,5.971104,1.5
2.327759,0.000000,5.819398,6.005619,1.5
2.341137,0.000000,5.852843,6.040134,1.5
2.354515,0.000000,5.886288,6.074649,1.5
2.367893,0.000000,5.919732,6.109164,1.5
2.381271,0.000000,5.953177,6.143679,1.5
2.394649,0.000000,5.986622,6.178194,1.5
2.408027,0.000000,6.020067,6.212709,1.5
2.421405,0.000000,6.053512,6.247224,1.5
2.434783,0.000000,6.086957,6.281739,1.5
2.448161,0.000000,6.120401,6.316254,1.5
2.461538,0.000000,6.153846,6.350769,1.5
2.474916,0.000000,6.187291,6.385284,1.5
2.488294,0.000000,6.220736,6.419799,1.5
2.501672,0.002388,6.252388,6.454314,1.5
2.515050,0.021494,6.271494,6.488829,1.5
2.528428,0.040600,6.290600,6.523344,1.5
2.541806,0.059705,6.309705,6.557860,1.5
2.555184,0.078811,6.328811,6.592375,1.5
2.568562,0.097917,6.347917,6.626890,1.5
2.581940,0.117022,6.367022,6.661405,1.5
2.595318,0.136128,6.386128,6.695920,1.5
2.608696,0.155233,6.405233,6.730435,1.5
2.622074,0.174339,6.424339,6.764950,1.5
2.635452,0.193445,6.443445,6.799465,1.5
2.648829,0.212550,6.462550,6.833980,1.5
2.662207,0.231656,6.481656,6.868495,1.5
2.675585,0.250762,6.500762,6.903010,1.5
2.688963,0.269867,6.519867,6.937525,1.5
2.702341,0.288973,6.538973,6.972040,1.5
2.715719,0.308079,6.558079,7.006555,1.5
2.729097,0.327184,6.577184,7.041070,1.5
2.742475,0.346290,6.596290,7.075585,1.5
2.755853,0.365396,6.615396,7.110100,1.5
2.769231,0.384501,6.634501,7.144615,1.5
2.782609,0.403607,6.653607,7.179130,1.5
2.795987,0.422713,6.672713,7.213645,1.5
2.809365,0.441818,6.691818,7.248161,1.5
2.822742,0.460924,6.710924,7.282676,1.5
2.836120,0.480030,6.730030,7.317191,1.5
2.849498,0.499135,6.749135,7.351706,1.5
2.862876,0.518241,6.768241,7.386221,1.5
2.876254,0.537347,6.787347,7.420736,1.5
2.889632,0.556452,6.806452,7.455251,1.5
2.903010,0.575558,6.825558,7.489766,1.5
2.916388,0.594664,6.844664,7.524281,1.5
2.929766,0.613769,6.863769,7.558796,1.5
2.943144,0.632875,6.882875,7.593311,1.5
2.956522,0.651981,6.901981,7.627826,1.5
2.969900,0.671086,6.921086,7.662341,1.5
2.983278,0.690192,6.940192,7.696856,1.5
2.996656,0.709298,6.959298,7.731371,1.5
3.010033,0.728403,6.978403,7.765886,1.5
3.023411,0.747509,6.997509,7.800401,1.5
3.036789,0.766615,7.016615,7.834916,1.5
3.050167,0.785720,7.035720,7.869431,1.5
3.063545,0.804826,7.054826,7.903946,1.5
3.076923,0.823932,7.073932,7.938462,1.5
3.090301,0.843037,7.093037,7.972977,1.5
3.103679,0.862143,7.112143,8.007492,1.5
3.117057,0.881249,7.131249,8.042007,1.5
3.130435,0.900354,7.150354,8.076522,1.5
3.143813,0.919460,7.169460,8.111037,1.5
